,Name,Party,GE,Constituency,Margin,election_type,election_year
1184,LOO Ka Thiam,United People's Party,GE 1963,Thomson,11.4%,GE,1963
1185,LOW Boon Kiat,Independent,GE 1959,Ulu Pandan,3.7%,GE,1959
1186,LOW Chiak Huan (Frankie),Reform Party,GE 2011,West Coast GRC,33.4%,GE,2011
1187,LOW Guan Onn,People's Action Party,GE 1968,River Valley,Uncontested,GE,1968
1188,"LOW, Penny",People's Action Party,GE 2001,Pasir Ris-Punggol GRC,Uncontested,GE,2001
1189,"LOW, Penny",People's Action Party,GE 2006,Pasir Ris-Punggol GRC,68.7%,GE,2006
1190,"LOW, Penny",People's Action Party,GE 2011,Pasir Ris-Punggol GRC,64.8%,GE,2011
1191,LOW Seng Wan,United People's Party,GE 1963,Sembawang,3.9%,GE,1963
1192,LOW Seow Chay,People's Action Party,GE 1988,Chua Chu Kang,59.3%,GE,1988
1193,LOW Seow Chay,People's Action Party,GE 1991,Chua Chu Kang,68.4%,GE,1991
1194,LOW Seow Chay,People's Action Party,GE 1997,Chua Chu Kang,61.9%,GE,1997
1195,LOW Seow Chay,People's Action Party,GE 2001,Chua Chu Kang,65.3%,GE,2001
1196,"LOW Siak Meng, Eric",People's Action Party,GE 2001,Hougang,45.0%,GE,2001
1197,"LOW Siak Meng, Eric",People's Action Party,GE 2006,Hougang,37.3%,GE,2006
1198,LOW Teck Cheng,Katong United Residents' Association,GE 1959,Joo Chiat,3.0%,GE,1959
1199,LOW Thia Khiang,Workers' Party,GE 1988,Tiong Bahru GRC,42.2%,GE,1988
1200,LOW Thia Khiang,Workers' Party,GE 1991,Hougang,52.8%,GE,1991
1201,LOW Thia Khiang,Workers' Party,GE 1997,Hougang,58.0%,GE,1997
1202,LOW Thia Khiang,Workers' Party,GE 2001,Hougang,55.0%,GE,2001
1203,LOW Thia Khiang,Workers' Party,GE 2006,Hougang,62.7%,GE,2006
1204,LOW Thia Khiang,Workers' Party,GE 2011,Aljunied GRC,54.7%,GE,2011
1205,LOW Thia Khiang,Workers' Party,GE 2015,Aljunied GRC,51.0%,GE,2015
1206,LOW Wai Choo (Janet),People's Power Party,GE 2015,Chua Chu Kang GRC,23.1%,GE,2015
1207,LOW Yen Ling,People's Action Party,GE 2011,Chua Chu Kang GRC,61.2%,GE,2011
1208,LOW Yen Ling,People's Action Party,GE 2015,Chua Chu Kang GRC,76.9%,GE,2015
1209,LOW Yong Nguan,People's Action Party,GE 1968,Crawford,Uncontested,GE,1968
1210,LOW Yong Nguan,Singapore Democratic Party,GE 1988,Buona Vista,35.1%,GE,1988
1211,LOW Yong Nguan,Singapore Democratic Party,GE 1991,Nee Soon South,47.2%,GE,1991
1212,LOW Yong Nguan,Singapore Democratic Party,BE 1992,Marine Parade GRC,24.5%,BE,1992
1213,LOW Yong Nguan,Singapore Democratic Party,GE 1997,Jalan Besar GRC,32.4%,GE,1997
1214,LUI Boon Phor,United People's Party,GE 1963,Jalan Kayu,13.2%,GE,1963
1215,LUI Tuck Yew,People's Action Party,GE 2006,Tanjong Pagar GRC,Uncontested,GE,2006
1216,LUI Tuck Yew,People's Action Party,GE 2011,Moulmein-Kallang GRC,58.6%,GE,2011
1217,"LUO Jie, Jarrod",Singapore Democratic Party,GE 2011,Sembawang GRC,36.1%,GE,2011
1218,"LYE Thiam Fatt, Joseph Victor",People's Action Party,GE 2015,Aljunied GRC,49.0%,GE,2015
1219,M. OLI MOHAMED Mohamed Kassim,Progressive Party,MC Apr 1949,City,27.4%,MC Apr,1949
1220,M. OLI MOHAMED Mohamed Kassim,Progressive Party,CC 1951,City,43.5%,CC,1951
1221,M. OLI MOHAMED Mohamed Kassim,Progressive Party,CC 1952,City,42.8%,CC,1952
1222,MAGANLAL Garangam,Independent,BE 1948,Rural West,20.5%,BE,1948
1223,MAH Bow Tan,People's Action Party,GE 1984,Potong Pasir,39.7%,GE,1984
1224,MAH Bow Tan,People's Action Party,GE 1988,Tampines GRC,61.0%,GE,1988
1225,MAH Bow Tan,People's Action Party,GE 1991,Tampines GRC,59.5%,GE,1991
1226,MAH Bow Tan,People's Action Party,GE 1997,Tampines GRC,Uncontested,GE,1997
1227,MAH Bow Tan,People's Action Party,GE 2001,Tampines GRC,73.3%,GE,2001
1228,MAH Bow Tan,People's Action Party,GE 2006,Tampines GRC,68.5%,GE,2006
1229,MAH Bow Tan,People's Action Party,GE 2011,Tampines GRC,57.2%,GE,2011
1230,MAHMOOD bin Latiff,Singapore People's Alliance,GE 1959,Kampong Glam,18.0%,GE,1959
1231,MAHMUD bin Awang,People's Action Party,BE 1961,Anson,36.7%,BE,1961
1232,MAHMUD bin Awang,People's Action Party,GE 1963,Kampong Kapor,41.7%,GE,1963
1233,MAIDEEN bin Ameer Batcha,Workers' Party,GE 1976,Joo Chiat,25.3%,GE,1976
1234,"MAJID, Mirza Abdul",Independent,GE 1948,Municipal South-West,16.1%,GE,1948
1235,"MAJID, Mirza Abdul",Labour Party,MC 1950,City,12.7%,MC,1950
1236,"MAJID, Mirza Abdul",Independent,GE 1951,City,4.0%,GE,1951
1237,"MAJID, Mirza Abdul",Independent,BE 1957,Cairnhill,1.6%,BE,1957
1238,MAK Pak Shee,Labour Party,MC Dec 1949,East,35.6%,MC Dec,1949
1239,MAK Pak Shee,Independent,MC 1950,City,13.3%,MC,1950
1240,MAK Pak Shee,Independent,CC 1951,East,25.3%,CC,1951
1241,MAK Pak Shee,Independent,CC 1951,East,32.1%,CC,1951
1242,MAK Pak Shee,Independent,CC 1953,East,51.4%,CC,1953
1243,MAK Pak Shee,Labour Front,GE 1955,Geylang,41.2%,GE,1955
1244,MAK Pak Shee,Independent,GE 1959,Geylang East,6.1%,GE,1959
1245,"MALLAL, Nazir Ahmad",Progressive Party,GE 1948,Municipal South-West,41.6%,GE,1948
1246,"MALLAL, Nazir Ahmad",Progressive Party,GE 1951,City,53.8%,GE,1951
1247,"MALLAL, Nazir Ahmad",Progressive Party,GE 1955,Stamford,18.5%,GE,1955
1248,"MAMMEN, John",People's Action Party,CC 1957,Anson,53.9%,CC,1957
1249,"MAMMEN, John",People's Action Party,GE 1959,Telok Blangah,50.4%,GE,1959
1250,MANICKAVASAGAR Subramaniam,Progressive Party,CC 1951,South,43.0%,CC,1951
1251,MANICKAVASAGAR Subramaniam,Progressive Party,CC 1952,South,39.3%,CC,1952
1252,MANICKAVASAGAR Subramaniam,Progressive Party,CC 1953,South,53.9%,CC,1953
1253,MANICKAVASAGAR Subramaniam,Liberal Socialist Party,CC 1957,Sepoy Lines,50.2%,CC,1957
1254,"MANOKARAN, P.",Barisan Sosialis,GE 1972,Kuo Chuan,26.3%,GE,1972
1255,"MANYAM, Shunmugh Subra",Progressive Party,MC 1950,North,56.6%,MC,1950
1256,"MANYAM, Shunmugh Subra",Labour Party,CC 1953,North,36.6%,CC,1953
1257,"MANYAM, Stella",Independent,CC 1952,West,40.8%,CC,1952
1258,"MARIADASS, Stanley",Independent,GE 1984,Sembawang,22.6%,GE,1984
1259,MARIAPPAN Verappan,Independent,CC 1953,South,46.1%,CC,1953
1260,MARIAPPAN Verappan,Labour Front,CC 1957,Farrer Park,24.0%,CC,1957
1261,MARIAPPAN Verappan,Independent,GE 1959,Telok Blangah,2.9%,GE,1959
1262,"MARSH, Edmund Richard",Workers' Party,GE 1988,Jalan Besar GRC,37.3%,GE,1988
1263,"MARSHALL, David Saul[12 Mar 1908 - 12 Dec 1995]",Labour Front,GE 1955,Cairnhill,47.6%,GE,1955
1264,"MARSHALL, David Saul[12 Mar 1908 - 12 Dec 1995]",Workers' Party,GE 1959,Cairnhill,26.7%,GE,1959
1265,"MARSHALL, David Saul[12 Mar 1908 - 12 Dec 1995]",Workers' Party,BE 1961,Anson,43.3%,BE,1961
1266,"MARSHALL, David Saul[12 Mar 1908 - 12 Dec 1995]",Independent,GE 1963,Anson,4.9%,GE,1963
1267,MASAGOS ZULKIFLI binMasagos Mohamad,People's Action Party,GE 2006,Tampines GRC,68.5%,GE,2006
1268,MASAGOS ZULKIFLI binMasagos Mohamad,People's Action Party,GE 2011,Tampines GRC,57.2%,GE,2011
1269,MASAGOS ZULKIFLI binMasagos Mohamad,People's Action Party,GE 2015,Tampines GRC,72.1%,GE,2015
1270,MD SIDEK bin Mallek,Singapore Democratic Party,GE 2015,Holland-Bukit Timah GRC,33.4%,GE,2015
1271,"MENON, Vilasini",Independent,GE 1951,Seletar,42.7%,GE,1951
1272,"MITRA, A. N.",Labour Front,GE 1955,Bukit Timah,14.9%,GE,1955
1273,MOHAMAD ABDILLAH bin Zamzuri,Singapore People's Party,GE 2015,Bishan-Toa Payoh GRC,26.4%,GE,2015
1274,MOHAMAD FAHMI bin Ahmad Rais,Singaporeans First,GE 2015,Tanjong Pagar GRC,22.3%,GE,2015
1275,MOHAMAD GHAZALI bin Ismail,People's Action Party,GE 1968,Aljunied,Uncontested,GE,1968
1276,MOHAMAD HAMIM bin Aliyas,Singapore Democratic Alliance,GE 2006,Pasir Ris-Punggol GRC,31.3%,GE,2006
1277,MOHAMAD HAMIM bin Aliyas,Singapore People's Party,GE 2011,Bishan-Toa Payoh GRC,43.1%,GE,2011
1278,MOHAMAD HAMIM bin Aliyas,Singapore People's Party,GE 2015,Bishan-Toa Payoh GRC,26.4%,GE,2015
1279,MOHAMAD MAIDIN binPacker Mohd,People's Action Party,GE 1991,Aljunied GRC,Uncontested,GE,1991
1280,MOHAMAD MAIDIN binPacker Mohd,People's Action Party,GE 1997,Marine Parade GRC,Uncontested,GE,1997
1281,MOHAMAD MAIDIN binPacker Mohd,People's Action Party,GE 2001,Marine Parade GRC,Uncontested,GE,2001
1282,MOHAMAD SANI bin Jan,Angkatan Islam,GE 1984,Pasir Panjang,2.3%,GE,1984
1283,MOHAMAD SANI bin Jan,Angkatan Islam,GE 1988,Kampong Glam,1.5%,GE,1988
1284,MOHAMAD SANI bin Jan,Independent,GE 1991,Bukit Timah,1.7%,GE,1991
1285,MOHAMED bin Awang,Pertubuhan Kebangsaan Melayu Singapura,GE 1988,Jurong,24.8%,GE,1988
1286,MOHAMED bin Awang,Pertubuhan Kebangsaan Melayu Singapura,GE 1991,Jurong,5.1%,GE,1991
1287,MOHAMED bin Haji Yacob,Singapore People's Alliance,GE 1959,Kampong Kembangan,17.7%,GE,1959
1288,MOHAMED bin Haji Yacob,Singapore Alliance,GE 1963,Geylang West,6.3%,GE,1963
1289,MOHAMED bin Idris,Workers' Party,GE 1988,Jalan Besar GRC,37.3%,GE,1988
1290,MOHAMED AFFENDY binAbdul Rahim,National Solidarity Party,GE 1988,Kebun Baru,24.6%,GE,1988
1291,"MOHAMED ALI, Sena Ana",Progressive Party,MC Apr 1949,Rochore,23.4%,MC Apr,1949
1292,"MOHAMED ALI, Sena Ana",Independent,MC 1950,Rochore,49.6%,MC,1950
1293,MOHAMED ARIFF bin Suradi[1929 - 25 Feb 2014],People's Action Party,GE 1959,Ulu Pandan,45.4%,GE,1959
1294,MOHAMED ARIFF bin Suradi[1929 - 25 Feb 2014],People's Action Party,GE 1963,Kampong Kembangan,48.3%,GE,1963
1295,MOHAMED ARIFF bin Suradi[1929 - 25 Feb 2014],People's Action Party,GE 1968,Kampong Kembangan,Uncontested,GE,1968
1296,MOHAMED ARIFF bin Suradi[1929 - 25 Feb 2014],People's Action Party,GE 1972,Kampong Kembangan,57.5%,GE,1972
1297,MOHAMED DALI bin Muin,Pan-Malayan Islamic Party,GE 1963,Kampong Kembangan,2.3%,GE,1963
1298,MOHAMED ELIAS bin Ibrahim,United National Front,GE 1972,Geylang East,2.9%,GE,1972
1299,MOHAMED FAIROZ bin Shariff,Workers' Party,GE 2015,East Coast GRC,39.3%,GE,2015
1300,MOHAMED FAZLI bin Talip,Workers' Party,GE 2011,East Coast GRC,45.2%,GE,2011
1301,MOHAMED IBRAHIM binMohd Kassim,Singapore Congress,BE 1961,Anson,0.8%,BE,1961
1302,MOHAMED ISA bin Abdul Aziz,Singapore Democratic Party,GE 2001,Jurong GRC,20.2%,GE,2001
1303,MOHAMED ISA bin Abdul Aziz,Singapore Democratic Party,GE 2006,Sembawang GRC,23.3%,GE,2006
1304,MOHAMED ISA bin Abdul Aziz,Singapore Democratic Party,GE 2011,Sembawang GRC,36.1%,GE,2011
1305,MOHAMED ISMAIL bin Abdul Rahim,People's Action Party,GE 1959,Geylang East,51.9%,GE,1959
1306,MOHAMED JUFRIE bin Mahmood,Workers' Party,GE 1984,Kampong Kembangan,44.3%,GE,1984
1307,MOHAMED JUFRIE bin Mahmood,Singapore Democratic Party,GE 1988,Aljunied GRC,43.7%,GE,1988
1308,MOHAMED JUFRIE bin Mahmood,Workers' Party,GE 1991,Eunos GRC,47.6%,GE,1991
1309,MOHAMED JUFRIE bin Mahmood,Singapore Democratic Party,GE 1997,Jalan Besar GRC,32.4%,GE,1997
1310,MOHAMED MANSOR binAbdul Rahman,United Front,GE 1976,Marine Parade,21.4%,GE,1976
1311,MOHAMED MANSOR binAbdul Rahman,United Front,GE 1980,Kolam Ayer,19.6%,GE,1980
1312,MOHAMED MANSOR binAbdul Rahman,Singapore United Front,GE 1984,Geylang Serai,34.4%,GE,1984
1313,MOHAMED MANSOR binAbdul Rahman,Reform Party,GE 2011,Ang Mo Kio GRC,30.7%,GE,2011
1314,MOHAMED SANI bin Ahmad,United People's Front,GE 1980,Bukit Panjang,13.0%,GE,1980
1315,MOHAMED SHARIFF bin Dollah,United Malays National Organisation,CC 1957,Tanglin,42.5%,CC,1957
1316,MOHAMED SHARIFF bin Dollah,United People's Party,GE 1963,Kallang,7.2%,GE,1963
1317,MOHAMED SHARIFF bin Yahya,Workers' Party,GE 1976,Whampoa,19.0%,GE,1976
1318,MOHAMED SHARIFF bin Yahya,Singapore Democratic Party,GE 1988,Kim Keat,27.0%,GE,1988
1319,MOHAMED SHARIFF bin Yahya,Singapore Democratic Party,BE 1992,Marine Parade GRC,24.5%,BE,1992
1320,MOHAMED SIDIK bin Abdul Hamid,Malay Union,GE 1955,Southern Islands,50.6%,GE,1955
1321,MOHAMED SIDIK bin Abdul Hamid,United Malays National Organisation,GE 1959,Siglap,11.1%,GE,1959
1322,MOHAMED TAHA bin Suhaimi,Pan-Malayan Islamic Party,GE 1963,Geylang Serai,8.6%,GE,1963
1323,MOHAMMAD SHAFNI bin Ahmad,Singapore Democratic Alliance,GE 2011,Pasir Ris-Punggol GRC,35.2%,GE,2011
1324,MOHAMMED ALI bin Alwi,United Malays National Organisation,GE 1959,Kampong Kembangan,38.9%,GE,1959
1325,MOHAMMED ALI bin Alwi,Singapore Alliance,GE 1963,Kampong Kembangan,25.0%,GE,1963
1326,MOHAMMED AZIZ bin Ibrahim,Pertubuhan Kebangsaan Melayu Singapura,GE 1991,Ayer Rajah,24.8%,GE,1991
1327,MOHAMMED AZIZ bin Ibrahim,Singapore Democratic Party,GE 1997,Aljunied GRC,33.0%,GE,1997
1328,MOHAMMED ISMAIL binHaji Mohammed Hussain,Liberal Socialist Party,GE 1959,Southern Islands,20.9%,GE,1959
1329,MOHAMMED ISMAIL binHaji Mohammed Hussain,Liberal Socialist Party,BE 1961,Anson,1.3%,BE,1961
1330,MOHAMMED MALIKI bin Osman,People's Action Party,GE 2001,Sembawang GRC,Uncontested,GE,2001
1331,MOHAMMED MALIKI bin Osman,People's Action Party,GE 2006,Sembawang GRC,76.7%,GE,2006
1332,MOHAMMED MALIKI bin Osman,People's Action Party,GE 2011,East Coast GRC,54.8%,GE,2011
1333,MOHAMMED MALIKI bin Osman,People's Action Party,GE 2015,East Coast GRC,60.7%,GE,2015
1334,MOHD ARIF bin Sahul Hameed,United National Front,GE 1972,Sembawang,22.6%,GE,1972
1335,MOHD KHALIT bin Mohd Baboo,Workers' Party,GE 1988,Eunos GRC,49.1%,GE,1988
1336,MOHD MANSOR bin Sukaimi,People's Action Party,GE 1976,Kampong Kembangan,64.0%,GE,1976
1337,MOHD MANSOR bin Sukaimi,People's Action Party,GE 1980,Kampong Kembangan,78.7%,GE,1980
1338,MOHD RAHIZAN bin Yaacob,Singapore Democratic Alliance,GE 2001,Jalan Besar GRC,25.5%,GE,2001
1339,MOHD RAHIZAN bin Yaacob,Workers' Party,GE 2006,Aljunied GRC,43.9%,GE,2006
1340,MOHD RAHIZAN bin Yaacob,Workers' Party,GE 2011,Moulmein-Kallang GRC,41.4%,GE,2011
1341,MOHD TAIB bin Saffar,Workers' Party,GE 1984,Brickworks,33.7%,GE,1984
1342,MOHD TAIB bin Saffar,Workers' Party,GE 1988,Pasir Panjang GRC,38.4%,GE,1988
1343,MUDA MUHAMED bin Mahmud,Malay Union,BE 1957,Cairnhill,16.9%,BE,1957
1344,MUHAMAD ALI bin Aman,Singapore Democratic Alliance,GE 2006,Jalan Besar GRC,30.7%,GE,2006
1345,MUHAMAD FAISAL bin Abdul Manap,Workers' Party,GE 2011,Aljunied GRC,54.7%,GE,2011
1346,MUHAMAD FAISAL bin Abdul Manap,Workers' Party,GE 2015,Aljunied GRC,51.0%,GE,2015
1347,MUHAMMAD FAISHAL binIbrahim Khan Surattee,People's Action Party,GE 2006,Marine Parade GRC,Uncontested,GE,2006
1348,MUHAMMAD FAISHAL binIbrahim Khan Surattee,People's Action Party,GE 2011,Nee Soon GRC,58.4%,GE,2011
1349,MUHAMMAD FAISHAL binIbrahim Khan Surattee,People's Action Party,GE 2015,Nee Soon GRC,66.8%,GE,2015
1350,MUNJEET Singh,United People's Front,GE 1980,Clementi,14.6%,GE,1980
1351,MUNJEET Singh,United People's Front,GE 1984,Yio Chu Kang,23.3%,GE,1984
1352,MUNJEET Singh,United People's Front,GE 1988,Nee Soon South,4.4%,GE,1988
1353,MURALIDHARAN PILLAI Kumjan,People's Action Party,GE 2015,Aljunied GRC,49.0%,GE,2015
1354,MURALIDHARAN PILLAI Kumjan,People's Action Party,BE 2016,Bukit Batok,61.2%,BE,2016
1355,MURUGASON Rajaratnam,Workers' Party,GE 1972,Potong Pasir,28.9%,GE,1972
1356,MURUGASON Rajaratnam,Workers' Party,GE 1976,Kampong Kembangan,36.0%,GE,1976
1357,"MURUGASON, Saraswathy",Workers' Party,GE 1988,Bedok GRC,45.1%,GE,1988
1358,NADARAJAH Munusamy,Singapore People's Alliance,GE 1959,Delta,4.3%,GE,1959
1359,"NAIR, Krishnan K.",Barisan Sosialis,GE 1972,Bukit Timah,33.2%,GE,1972
1360,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Labour Party,MC Apr 1949,West,18.9%,MC Apr,1949
1361,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Labour Party,MC Dec 1949,South,48.8%,MC Dec,1949
1362,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Labour Party,MC 1950,South,65.8%,MC,1950
1363,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Independent,BE 1952,Seletar,Uncontested,BE,1952
1364,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Independent,GE 1955,Seletar,31.8%,GE,1955
1365,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Singapore People's Alliance,GE 1959,Jalan Kayu,37.7%,GE,1959
1366,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Singapore Alliance,GE 1963,Jalan Kayu,12.1%,GE,1963
1367,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Independent,BE 1966,Bukit Merah,17.1%,BE,1966
1368,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Independent,BE 1967,Thomson,11.6%,BE,1967
1369,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Independent,GE 1968,Farrer Park,15.1%,GE,1968
1370,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Workers' Party,GE 1972,Jalan Kayu,36.9%,GE,1972
1371,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Workers' Party,GE 1976,Jalan Kayu,38.4%,GE,1976
1372,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Workers' Party,GE 1980,Jalan Kayu,31.0%,GE,1980
1373,"NAIR, Madai Puthan Damodaran[1920 - 15 Jan 1989]",Workers' Party,GE 1984,Jalan Kayu,48.8%,GE,1984
1374,"NAIR, Vellekat Kesavan",Labour Party,MC Dec 1949,West,37.2%,MC Dec,1949
1375,"NAIR, Vellekat Kesavan",Labour Party,CC 1951,South,57.0%,CC,1951
1376,"NAIR, Vikram",People's Action Party,GE 2011,Sembawang GRC,63.9%,GE,2011
1377,"NAIR, Vikram",People's Action Party,GE 2015,Sembawang GRC,72.3%,GE,2015
1378,"NAMAZIE, Mohamed Javad",Independent,GE 1948,Municipal North-East,24.4%,GE,1948
1379,"NAMAZIE, Mohamed Javad",Independent,GE 1951,Rochore,36.6%,GE,1951
1380,NARAYANASAMY Gogelavany (Monica Kumar),Singapore Democratic Party,GE 2006,Sembawang GRC,23.3%,GE,2006
1381,"NATHAN, Pandarapillai Thillai",Independent,MC Apr 1949,Rochore,29.9%,MC Apr,1949
1382,"NATHAN, Pandarapillai Thillai",Independent,GE 1951,Rochore,20.3%,GE,1951
1383,NEO Choon Aik (Maurice),Singapore Democratic Party,GE 1988,Aljunied GRC,43.7%,GE,1988
1384,NEO Choon Aik (Maurice),Workers' Party,GE 1991,Eunos GRC,47.6%,GE,1991
1385,NEO Guan Choo,Singapore Alliance,GE 1963,Chua Chu Kang,5.1%,GE,1963
1386,NEO Hay Chan,United People's Party,GE 1963,Moulmein,5.7%,GE,1963
1387,NEO Koon Hin (Anthony),Independent,GE 1959,Chua Chu Kang,24.9%,GE,1959
1388,"NEO, Lily Tirtasana",People's Action Party,GE 1997,Kreta Ayer-Tanglin GRC,Uncontested,GE,1997
1389,"NEO, Lily Tirtasana",People's Action Party,GE 2001,Jalan Besar GRC,74.5%,GE,2001
1390,"NEO, Lily Tirtasana",People's Action Party,GE 2006,Jalan Besar GRC,69.3%,GE,2006
1391,"NEO, Lily Tirtasana",People's Action Party,GE 2011,Tanjong Pagar GRC,Uncontested,GE,2011
1392,"NEO, Lily Tirtasana",People's Action Party,GE 2015,Jalan Besar GRC,67.7%,GE,2015
1393,NEO Tai Kim,Independent,CC 1957,Crawford,14.2%,CC,1957
1394,"NEO Ting Wei, Christopher",National Solidarity Party,GE 1997,Boon Lay,33.9%,GE,1997
1395,"NEO Ting Wei, Christopher",Singapore Democratic Alliance,GE 2001,Tampines GRC,26.7%,GE,2001
1396,"NEO Ting Wei, Christopher",Singapore Democratic Party,GE 2006,Sembawang GRC,23.3%,GE,2006
1397,"NEO Ting Wei, Christopher",National Solidarity Party,GE 2011,Jurong GRC,33.0%,GE,2011
1398,"NETTO, Anthony Pecci",Independent,CC 1951,North,19.9%,CC,1951
1399,NG Ah Chue,Barisan Sosialis,GE 1972,Chua Chu Kang,37.6%,GE,1972
1400,NG Ah Chue,Barisan Sosialis,GE 1976,Kuo Chuan,25.6%,GE,1976
1401,NG Chee Meng,People's Action Party,GE 2015,Pasir Ris-Punggol GRC,72.9%,GE,2015
1402,NG Chee Sen,United People's Party,GE 1963,Havelock,22.4%,GE,1963
1403,NG Cheng Chwee,Independent,CC 1957,Geylang East,10.9%,CC,1957
1404,NG Cheng Chwee,Singapore People's Alliance,GE 1959,Geylang East,41.9%,GE,1959
1405,NG Cheng Chwee,Singapore Alliance,GE 1963,Geylang East,9.7%,GE,1963
1406,NG Eng Hen,People's Action Party,GE 2001,Bishan-Toa Payoh GRC,Uncontested,GE,2001
1407,NG Eng Hen,People's Action Party,GE 2006,Bishan-Toa Payoh GRC,Uncontested,GE,2006
1408,NG Eng Hen,People's Action Party,GE 2011,Bishan-Toa Payoh GRC,56.9%,GE,2011
1409,NG Eng Hen,People's Action Party,GE 2015,Bishan-Toa Payoh GRC,73.6%,GE,2015
1410,NG Foo Eng (Dylan),Workers' Party,GE 2015,Marine Parade GRC,35.9%,GE,2015
1411,NG Ho,United People's Party,GE 1963,Queenstown,5.9%,GE,1963
1412,NG Ho,Workers' Party,GE 1972,Leng Kee,25.2%,GE,1972
1413,NG Ho,United Front,GE 1976,Delta,23.6%,GE,1976
1414,NG Ho,Barisan Sosialis,GE 1980,Toa Payoh,23.3%,GE,1980
1415,NG Ho,Barisan Sosialis,GE 1984,Toa Payoh,34.8%,GE,1984
1416,NG Chung Hon (Spencer),National Solidarity Party,GE 2011,Marine Parade GRC,43.4%,GE,2011
1417,NG Chung Hon (Spencer),National Solidarity Party,GE 2015,Sembawang GRC,27.7%,GE,2015
1418,NG Hui Sim,Barisan Sosialis,GE 1963,Serangoon Gardens,32.3%,GE,1963
1419,NG Kah Ting,People's Action Party,GE 1963,Punggol,47.8%,GE,1963
1420,NG Kah Ting,People's Action Party,GE 1968,Punggol,Uncontested,GE,1968
1421,NG Kah Ting,People's Action Party,GE 1972,Punggol,58.1%,GE,1972
1422,NG Kah Ting,People's Action Party,GE 1976,Punggol,69.4%,GE,1976
1423,NG Kah Ting,People's Action Party,GE 1980,Punggol,78.9%,GE,1980
1424,NG Kah Ting,People's Action Party,GE 1984,Punggol,65.1%,GE,1984
1425,NG Kah Ting,People's Action Party,GE 1988,Punggol,59.9%,GE,1988
1426,NG Kee How (Howard),Singapore Democratic Alliance,GE 2001,Jalan Besar GRC,25.5%,GE,2001
1427,"NG Kong Wah, Johnnie",United National Front,GE 1972,Jalan Besar,16.1%,GE,1972
1428,NG Kwee Lim,United Front,GE 1976,Upper Serangoon,20.9%,GE,1976
1429,"NG Kok Kwang, Louis",People's Action Party,GE 2015,Nee Soon GRC,66.8%,GE,2015
1430,NG Lep Chong,United Front,GE 1976,Leng Kee,23.2%,GE,1976
1431,NG Lep Chong,Singapore United Front,GE 1984,Tanah Merah,31.9%,GE,1984
1432,NG Ngeong Yew,Barisan Sosialis,GE 1963,Jalan Besar,40.1%,GE,1963
1433,NG Oh Chew,United National Front,GE 1972,Telok Ayer,16.0%,GE,1972
1434,"NG Phek Hoong, Irene",People's Action Party,GE 2001,Tampines GRC,73.3%,GE,2001
1435,"NG Phek Hoong, Irene",People's Action Party,GE 2006,Tampines GRC,68.5%,GE,2006
1436,"NG Phek Hoong, Irene",People's Action Party,GE 2011,Tampines GRC,57.2%,GE,2011
1437,NG Pock Too,People's Action Party,GE 1984,Anson,43.2%,GE,1984
1438,NG Pock Too,People's Action Party,GE 1988,Nee Soon Central,57.6%,GE,1988
1439,NG Pock Too,People's Action Party,GE 1991,Nee Soon Central,49.7%,GE,1991
1440,NG Say Eng (Edmund),Singapore Democratic Alliance,GE 2006,Tampines GRC,31.5%,GE,2006
1441,NG See Thong,Independent,GE 1959,Havelock,24.6%,GE,1959
1442,NG Sen Choy,Democratic Party,GE 1955,Stamford,17.9%,GE,1955
1443,NG Seng Chua,Barisan Sosialis,GE 1976,Boon Teck,28.1%,GE,1976
1444,NG Soon Hee,United National Front,GE 1972,Jurong,23.6%,GE,1972
1445,NG Teck Siong,Singapore Democratic Party,GE 1988,Thomson,33.0%,GE,1988
1446,NG Teck Siong,Workers' Party,GE 1997,West Coast GRC,29.9%,GE,1997
1447,NG Teik Sim,Liberal Socialist Party,CC 1957,Kampong Kapor,25.0%,CC,1957
1448,NG Teng Kian,People's Action Party,GE 1959,Punggol,46.4%,GE,1959
1449,NG Teng Kian,United People's Party,GE 1963,Tiong Bahru,9.1%,GE,1963
1450,NG Teng Kian,Independent,GE 1972,Punggol,41.9%,GE,1972
1451,NG Teo Joo,United People's Party,GE 1963,Serangoon Gardens,8.8%,GE,1963
1452,NG Yang Choo,Barisan Sosialis,GE 1972,Kampong Chai Chee,29.4%,GE,1972
1453,NG Yeow Chong,People's Action Party,GE 1963,Mountbatten,49.0%,GE,1963
